Product Type,Product Weight (kg),Purpose,Vehicle Type,maxWeightCapacity
Meat,10298,perishable goods,10 wheeler Reefer Truck,12111
Vegetables,12116,crops,10 Wheeler Dump Truck,12394
Fresh Vegetables,4247,perishable goods,Medium Refrigerated Truck,5663
Corn,14444,crops,10 Wheeler Dump Truck,14966
Rice,2505,crops,Elf Truck,3589
Frozen Fish,8614,perishable goods,Large Refrigerated Truck,8825
Frozen Fish,9808,perishable goods,10 wheeler Reefer Truck,10637
Meat,2336,perishable goods,Small Refrigerated Truck,2504
Corn,2108,crops,Elf Truck,3785
Cows,11771,livestock,10 wheeler Livestock Truck,13618
Chickens,10328,livestock,10 wheeler Livestock Truck,11070
Goats,6419,livestock,Large Livestock Truck,6906
Cows,11609,livestock,10 wheeler Livestock Truck,11819
Eggs,6509,perishable goods,Large Refrigerated Truck,7196
Meat,3390,perishable goods,Medium Refrigerated Truck,5025
Chickens,4207,livestock,Large Livestock Truck,5696
Corn,10168,crops,10 Wheeler Cargo Truck,10994
Fresh Vegetables,923,perishable goods,Medium Refrigerated Van,2465
Pigs,2395,livestock,Medium Livestock Truck,2856
Fresh Vegetables,1566,perishable goods,Small Refrigerated Truck,2554
Corn,7709,crops,Dropside Truck,8344
Leafy Greens,819,perishable goods,Medium Refrigerated Van,2333
Chickens,10443,livestock,10 wheeler Livestock Truck,11466
Goats,1309,livestock,Small Livestock Truck,1617
Fruits,11917,crops,10 Wheeler Cargo Truck,13008
Cows,8024,livestock,10 wheeler Livestock Truck,8210
Milk,10492,perishable goods,10 wheeler Reefer Truck,11851
Milk,11367,perishable goods,10 wheeler Reefer Truck,12933
Fruits,736,crops,Small Delivery Van,1924
Frozen Fish,10055,perishable goods,10 wheeler Reefer Truck,10284
Leafy Greens,610,perishable goods,Small Refrigerated Van,880
Goats,1082,livestock,Small Livestock Truck,1853
Fresh Vegetables,662,perishable goods,Small Refrigerated Van,2615
Rice,12725,crops,10 Wheeler Dump Truck,13946
Fruits,11335,crops,10 Wheeler Dump Truck,12009
Fresh Vegetables,9201,perishable goods,10 wheeler Reefer Truck,10976
Fruits,11147,crops,10 Wheeler Cargo Truck,12924
Frozen Fish,5856,perishable goods,Large Refrigerated Truck,7659
Eggs,7225,perishable goods,Large Refrigerated Truck,8010
Leafy Greens,3933,perishable goods,Medium Refrigerated Truck,4462
Frozen Fish,5343,perishable goods,Large Refrigerated Truck,7232
Pigs,10459,livestock,10 wheeler Livestock Truck,11626
Frozen Fish,5528,perishable goods,Large Refrigerated Truck,5866
Milk,11279,perishable goods,10 wheeler Reefer Truck,12821
Meat,10606,perishable goods,10 wheeler Reefer Truck,12391
Meat,4112,perishable goods,Medium Refrigerated Truck,4594
Pigs,4645,livestock,Large Livestock Truck,6604
Meat,4016,perishable goods,Medium Refrigerated Truck,4468
Goats,4845,livestock,Large Livestock Truck,5724
Leafy Greens,8779,perishable goods,Large Refrigerated Truck,10221
Leafy Greens,623,perishable goods,Small Refrigerated Van,2539
Rice,8438,crops,10 Wheeler Cargo Truck,9379
Goats,9598,livestock,10 wheeler Livestock Truck,10742
Chickens,8509,livestock,10 wheeler Livestock Truck,10328
Goats,2879,livestock,Medium Livestock Truck,4081
